X	Y	
9,183895143	10,14101133	56
11,91656379	13,5449121	105
10,02333143	10,67968926	66
10,68246005	6,481461472	91
11,27073988	9,042400643	13
10,74136502	7,678643887	11
11,12188959	7,915102424	45
11,5121469	10,40187214	68
9,916898704	8,957296232	18
9,487287277	11,59416286	40
9,381265478	11,08196422	96
10,40438911	9,961689286	12
7,642381135	11,42356829	48
9,436184467	9,494970928	58
6,038406124	10,86655368	39
8,118227568	10,65545226	38
12,231466	9,373423704	111
10,11430395	10,41220094	88
6,509020812	6,080863241	68
9,844707766	10,27693645	39
12,18800539	12,38564848	56
8,582055136	9,971306916	86
11,47369178	12,55192331	119
10,47587664	10,87489613	91
6,789358434	15,11165988	97
11,63215977	7,640226894	39
11,28788663	10,5814468	24
10,36241914	10,57595278	68
11,15593743	11,5523727	77
15,15026195	8,695392037	45
8,558358715	11,45493778	84
11,01236261	12,83278997	58
10,52203097	12,40540885	55
11,72334556	10,86380485	12
10,70042656	11,96781456	59
7,922419913	9,707177466	118
4,751260292	10,38379263	24
7,765420552	12,15700754	104
8,319539959	7,538459056	80
9,036088556	12,51628659	82
8,284379268	10,87750733	18
12,42943994	8,93665136	61
13,91660888	10,18060676	89
10,97238999	11,13870797	64
13,37978408	12,61970543	51
8,669604344	11,13055018	60
11,41865704	10,18958723	94
9,687259589	9,189171383	21
9,729538242	9,933794756	30
8,252436241	8,167652782	94
11,15765777	7,877183703	36
10,68870602	9,325742666	18
10,16421402	8,675290074	10
9,816646895	7,316670366	111
5,668053019	9,147350633	66
10,80874439	10,92338172	72
12,7494549	9,403142509	64
11,76601439	13,02424491	31
10,86514323	14,01667373	70
7,847133563	11,58845863	70
9,301028227	10,68296328	17
11,03784084	13,23043148	114
7,661735339	12,08979064	105
12,97147457	14,42324948	92
11,8103591	12,9647865	72
8,781427484	9,970960589	116
9,546226656	8,747956377	70
10,74857655	13,42819024	111
9,715843543	14,53500877	69
8,109718581	10,75204158	85
10,74708091	12,42748431	36
12,98008551	11,31673708	59
9,50460221	14,30548314	73
9,634713915	10,14492813	60
12,67587973	10,18463884	31
5,402639627	11,79679037	22
9,587398822	12,2242908	111
9,017152253	11,18167311	13
9,868762863	10,16512509	84
7,464868039	8,344991727	107
11,90014737	11,5704931	15
10,65694985	9,252929927	56
13,97585277	14,54926265	102
11,77291483	10,774035	93
10,63272217	6,866506421	113
11,89633465	11,26656969	109
12,69848179	6,98018985	34
10,42638731	12,24059715	29
9,786824407	9,254245862	117
12,30307036	10,72705351	60
11,70005194	9,05840519	51
